x,y,z,intensity,beamNumber
-18.133846,2.0806174,-0.24413088,10.0,50.0
-18.147123,-1.2233913,-0.24143653,4.0,51.0
-17.511024,-0.5421692,-0.22147484,5.0,52.0
-17.061163,0.091762096,-0.22117908,7.0,53.0
-14.970263,0.08249108,-0.21141447,4.0,54.0
-13.2053,0.07498377,-0.18143152,4.0,55.0
-11.874912,0.069142304,-0.17129633,5.0,56.0
-10.783251,0.06484958,-0.12881434,4.0,57.0
-9.859445,0.060405236,-0.14826754,4.0,58.0
-9.085992,0.05706741,-0.13839972,3.0,59.0
-8.405238,0.05419939,-0.124952056,3.0,60.0
-7.824555,0.051744368,-0.114068516,4.0,61.0
-5.69112,0.042871274,-0.06407028,7.0,62.0
-45.74113,-3.1111915,-0.4344814,8.0,27.0
-41.689636,-1.3145812,-0.36286587,6.0,28.0
-41.978626,0.19950613,-0.5245461,4.0,29.0
-39.455395,1.6235281,-0.5112802,3.0,30.0
-36.32313,2.8208528,-0.43914515,4.0,31.0
-33.810978,3.8667367,-0.39380273,3.0,32.0
-34.557056,-2.3475661,-0.4473782,9.0,33.0
-32.16046,-1.0114306,-0.3883196,4.0,34.0
-30.406662,0.14979391,-0.36144865,5.0,35.0
-28.673466,1.1851872,-0.3277052,6.0,36.0
-27.305674,2.1248379,-0.31271031,7.0,37.0
-25.972628,2.9739554,-0.29725403,7.0,38.0
-26.216627,-1.77578,-0.317514,4.0,39.0
-24.95145,-0.7802606,-0.2905009,6.0,40.0
-24.02134,0.12214446,-0.28637552,4.0,41.0
-23.040056,0.9555701,-0.27497387,5.0,42.0
-22.174694,1.7284551,-0.268114,4.0,43.0
-21.339937,2.446014,-0.26429364,5.0,44.0
-21.437702,-1.4486262,-0.27137095,5.0,45.0
-20.579594,-0.6403613,-0.24986506,5.0,46.0
-20.038696,0.104625374,-0.2582281,3.0,47.0
-19.280901,0.8023156,-0.24211195,4.0,48.0
-18.556038,1.449069,-0.22360888,4.0,49.0
-18.133846,2.0806174,-0.24413088,10.0,50.0
-18.147123,-1.2233913,-0.24143653,4.0,51.0
-17.511024,-0.5421692,-0.22147484,5.0,52.0
-17.061163,0.091762096,-0.22117908,7.0,53.0
-14.970263,0.08249108,-0.21141447,4.0,54.0
-13.2053,0.07498377,-0.18143152,4.0,55.0
-11.874912,0.069142304,-0.17129633,5.0,56.0
-10.783251,0.06484958,-0.12881434,4.0,57.0
-9.859445,0.060405236,-0.14826754,4.0,58.0
-9.085992,0.05706741,-0.13839972,3.0,59.0
-8.405238,0.05419939,-0.124952056,3.0,60.0
-7.824555,0.051744368,-0.114068516,4.0,61.0
-5.69112,0.042871274,-0.06407028,7.0,62.0
-45.91118,-2.9621003,-0.44568473,6.0,27.0
-41.566277,-1.1654352,-0.35782772,8.0,28.0
-42.189316,0.3474343,-0.5395193,4.0,29.0
-39.601074,1.7677324,-0.52288425,4.0,30.0
-36.217632,2.9398806,-0.43427455,3.0,31.0
-33.79732,3.9846292,-0.39517412,3.0,32.0
-34.37796,-2.2146835,-0.43600646,13.0,33.0
-32.088085,-0.897031,-0.38439012,4.0,34.0
-30.37011,0.2555822,-0.36018324,5.0,35.0
-28.645308,1.2841307,-0.32710755,6.0,36.0
-27.298141,2.220036,-0.31391245,5.0,37.0
-25.989845,3.0677245,-0.30078292,6.0,38.0
-26.190907,-1.6822498,-0.31619045,4.0,39.0
-24.938145,-0.692786,-0.2903804,5.0,40.0
-24.024797,0.20591962,-0.28798136,5.0,41.0
-23.048563,1.0364025,-0.27725798,5.0,42.0
-22.140816,1.8035403,-0.26621953,5.0,43.0
-21.335274,2.520851,-0.26558274,3.0,44.0
-21.43077,-1.3730911,-0.2713352,5.0,45.0
-20.581755,-0.5686194,-0.25098342,5.0,46.0
-20.030312,0.17442597,-0.25834253,3.0,47.0
-19.242315,0.86798835,-0.23882632,4.0,48.0
-18.546963,1.5134215,-0.22394568,4.0,49.0
-18.10287,2.1410615,-0.24190395,10.0,50.0
-18.171133,-1.1614575,-0.24495837,3.0,51.0
-17.512863,-0.48113677,-0.22242628,5.0,52.0
-17.088552,0.15138967,-0.22570387,7.0,53.0
-14.950157,0.13453898,-0.20921816,4.0,54.0
-13.197123,0.12094212,-0.1807828,4.0,55.0
-11.858923,0.11041859,-0.16898389,4.0,56.0
-10.771251,0.102336615,-0.12700573,4.0,57.0
-9.851419,0.09469345,-0.14704075,4.0,58.0
-9.081904,0.08867586,-0.13793135,3.0,59.0
-8.405055,0.08344899,-0.12537919,4.0,60.0
-7.8089576,0.07890539,-0.110224694,4.0,61.0
-5.694747,0.0626554,-0.065748684,7.0,62.0
-45.91118,-2.9621003,-0.44568473,6.0,27.0
-41.566277,-1.1654352,-0.35782772,8.0,28.0
-42.189316,0.3474343,-0.5395193,4.0,29.0
-39.601074,1.7677324,-0.52288425,4.0,30.0
-36.217632,2.9398806,-0.43427455,3.0,31.0
-33.79732,3.9846292,-0.39517412,3.0,32.0
-34.37796,-2.2146835,-0.43600646,13.0,33.0
-32.088085,-0.897031,-0.38439012,4.0,34.0
-30.37011,0.2555822,-0.36018324,5.0,35.0
-28.645308,1.2841307,-0.32710755,6.0,36.0
-27.298141,2.220036,-0.31391245,5.0,37.0
-25.989845,3.0677245,-0.30078292,6.0,38.0
-26.190907,-1.6822498,-0.31619045,4.0,39.0
-24.938145,-0.692786,-0.2903804,5.0,40.0
-24.024797,0.20591962,-0.28798136,5.0,41.0
-23.048563,1.0364025,-0.27725798,5.0,42.0
-22.140816,1.8035403,-0.26621953,5.0,43.0
-21.335274,2.520851,-0.26558274,3.0,44.0
-21.43077,-1.3730911,-0.2713352,5.0,45.0
-20.581755,-0.5686194,-0.25098342,5.0,46.0
-20.030312,0.17442597,-0.25834253,3.0,47.0
-19.242315,0.86798835,-0.23882632,4.0,48.0
-18.546963,1.5134215,-0.22394568,4.0,49.0
-18.10287,2.1410615,-0.24190395,10.0,50.0
-18.171133,-1.1614575,-0.24495837,3.0,51.0
-17.512863,-0.48113677,-0.22242628,5.0,52.0
-17.088552,0.15138967,-0.22570387,7.0,53.0
-14.950157,0.13453898,-0.20921816,4.0,54.0
-13.197123,0.12094212,-0.1807828,4.0,55.0
-11.858923,0.11041859,-0.16898389,4.0,56.0
-10.771251,0.102336615,-0.12700573,4.0,57.0
-9.851419,0.09469345,-0.14704075,4.0,58.0
-9.081904,0.08867586,-0.13793135,3.0,59.0
-8.405055,0.08344899,-0.12537919,4.0,60.0
-7.8089576,0.07890539,-0.110224694,4.0,61.0
-5.694747,0.0626554,-0.065748684,7.0,62.0
-46.00898,-2.8073964,-0.45303646,5.0,27.0
-41.574127,-1.0205603,-0.36030245,7.0,28.0
-42.399483,0.49683762,-0.5545001,3.0,29.0
-39.754196,1.91335,-0.5350017,3.0,30.0
-36.07198,3.0548825,-0.42668545,3.0,31.0
-33.692146,4.091512,-0.39001545,3.0,32.0
-34.349686,-2.0925333,-0.43542054,11.0,33.0
-32.107014,-0.78553694,-0.38732025,4.0,34.0
-30.33718,0.361158,-0.35921693,5.0,35.0
-28.592909,1.3817741,-0.32453758,6.0,36.0
-27.2029,2.3079271,-0.30762374,6.0,37.0
-25.955297,3.1554747,-0.29970524,6.0,38.0
-26.172806,-1.5894201,-0.315565,5.0,39.0
-24.888699,-0.6044716,-0.28692573,6.0,40.0
-23.988152,0.28931868,-0.28574887,4.0,41.0
-23.017023,1.1154559,-0.27556545,5.0,42.0
-22.122541,1.8797272,-0.26595584,4.0,43.0
-21.302706,2.592371,-0.26389667,5.0,44.0
-21.431513,-1.2981226,-0.27214143,5.0,45.0
-20.563793,-0.49634215,-0.24989827,5.0,46.0
-20.009762,0.24405184,-0.2570905,3.0,47.0
-19.231283,0.93468684,-0.2387992,4.0,48.0
-18.533707,1.5774,-0.22379556,5.0,49.0
-18.071695,2.2013144,-0.2396688,8.0,50.0
-18.131552,-1.095356,-0.2405585,4.0,51.0
-17.498623,-0.4196723,-0.22133549,5.0,52.0
-17.03642,0.21045052,-0.21977472,7.0,53.0
-14.933827,0.18648377,-0.20760666,4.0,54.0
-13.1887865,0.16684395,-0.1801288,4.0,55.0
-11.838857,0.15154882,-0.16593672,4.0,56.0
-10.774807,0.13987479,-0.12833565,4.0,57.0
-9.84718,0.12895826,-0.14667419,3.0,58.0
-9.073816,0.12022493,-0.13652906,3.0,59.0
-8.389275,0.1125775,-0.12181947,3.0,60.0
-7.82412,0.106188826,-0.114861,4.0,61.0
-5.683303,0.08237357,-0.061866116,7.0,62.0
-46.00898,-2.8073964,-0.45303646,5.0,27.0
-41.574127,-1.0205603,-0.36030245,7.0,28.0
-42.399483,0.49683762,-0.5545001,3.0,29.0
-38.482224,1.8535483,-0.45325902,1.0,30.0
-36.07198,3.0548825,-0.42668545,3.0,31.0
-33.692146,4.091512,-0.39001545,3.0,32.0
-34.349686,-2.0925333,-0.43542054,11.0,33.0
-32.107014,-0.78553694,-0.38732025,4.0,34.0
-30.33718,0.361158,-0.35921693,5.0,35.0
-28.592909,1.3817741,-0.32453758,6.0,36.0
-27.2029,2.3079271,-0.30762374,6.0,37.0
-25.955297,3.1554747,-0.29970524,6.0,38.0
-26.172806,-1.5894201,-0.315565,5.0,39.0
-24.888699,-0.6044716,-0.28692573,6.0,40.0
-23.988152,0.28931868,-0.28574887,4.0,41.0
-23.017023,1.1154559,-0.27556545,5.0,42.0
-22.122541,1.8797272,-0.26595584,4.0,43.0
-21.302706,2.592371,-0.26389667,5.0,44.0
-21.431513,-1.2981226,-0.27214143,5.0,45.0
-20.563793,-0.49634215,-0.24989827,5.0,46.0
-20.009762,0.24405184,-0.2570905,3.0,47.0
-19.231283,0.93468684,-0.2387992,4.0,48.0
-18.533707,1.5774,-0.22379556,5.0,49.0
-18.071695,2.2013144,-0.2396688,8.0,50.0
-18.131552,-1.095356,-0.2405585,4.0,51.0
-17.498623,-0.4196723,-0.22133549,5.0,52.0
-17.03642,0.21045052,-0.21977472,7.0,53.0
-14.933827,0.18648377,-0.20760666,4.0,54.0
-13.1887865,0.16684395,-0.1801288,4.0,55.0
-11.838857,0.15154882,-0.16593672,4.0,56.0
-10.774807,0.13987479,-0.12833565,4.0,57.0
-9.84718,0.12895826,-0.14667419,3.0,58.0
-9.073816,0.12022493,-0.13652906,3.0,59.0
-8.389275,0.1125775,-0.12181947,3.0,60.0
-7.82412,0.106188826,-0.114861,4.0,61.0
-5.683303,0.08237357,-0.061866116,7.0,62.0
-46.16208,-2.65532,-0.4633854,3.0,27.0
-41.589455,-0.8758224,-0.3632215,7.0,28.0
-42.6171,0.64782673,-0.5699733,4.0,29.0
-39.962597,2.0628788,-0.5507107,2.0,30.0
-35.894157,3.1661332,-0.41691276,5.0,31.0
-33.70939,4.2129116,-0.39362788,3.0,32.0
-34.404613,-1.975539,-0.44080284,9.0,33.0
